"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 12:48:05 GMT 2023","Sat Apr 22 12:48:07 GMT 2023","1204","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 22 12:48:27 GMT 2023","Sat Apr 22 12:48:46 GMT 2023","18807","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 22 12:48:13 GMT 2023","Sat Apr 22 12:48:13 GMT 2023","841","","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 22 12:49:01 GMT 2023","Sat Apr 22 12:49:02 GMT 2023","940","","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 22 12:48:18 GMT 2023","Sat Apr 22 12:48:22 GMT 2023","3565","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 22 12:48:48 GMT 2023","Sat Apr 22 12:48:50 GMT 2023","1483","","test_conduit","TestConduit","","","test_pages",""
"passed","Sat Apr 22 12:48:51 GMT 2023","Sat Apr 22 12:48:57 GMT 2023","6126","","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Sat Apr 22 12:48:58 GMT 2023","Sat Apr 22 12:49:00 GMT 2023","2181","","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Sat Apr 22 12:48:15 GMT 2023","Sat Apr 22 12:48:17 GMT 2023","2486","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 22 12:48:08 GMT 2023","Sat Apr 22 12:48:11 GMT 2023","3709","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 22 12:48:23 GMT 2023","Sat Apr 22 12:48:26 GMT 2023","3299","","test_conduit","TestConduit","","","test_delete_article",""
