"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 10 09:36:50 GMT 2023","Mon Apr 10 09:36:50 GMT 2023","841","","test_conduit","TestConduit","","","test_login",""
"passed","Mon Apr 10 09:36:45 GMT 2023","Mon Apr 10 09:36:48 GMT 2023","3033","","test_conduit","TestConduit","","","test_register",""
"passed","Mon Apr 10 09:36:52 GMT 2023","Mon Apr 10 09:36:54 GMT 2023","2499","","test_conduit","TestConduit","","","test_new_article",""
"passed","Mon Apr 10 09:36:43 GMT 2023","Mon Apr 10 09:36:44 GMT 2023","1066","","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Mon Apr 10 09:36:56 GMT 2023","Mon Apr 10 09:36:58 GMT 2023","2057","","test_conduit","TestConduit","","","test_delete_article",""
