"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 10:33:50 GMT 2023","Sat Apr 15 10:33:51 GMT 2023","1061","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 10:33:52 GMT 2023","Sat Apr 15 10:33:55 GMT 2023","2977","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 15 10:33:58 GMT 2023","Sat Apr 15 10:34:00 GMT 2023","2525","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 10:33:56 GMT 2023","Sat Apr 15 10:33:57 GMT 2023","874","","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 15 10:34:02 GMT 2023","Sat Apr 15 10:34:05 GMT 2023","3015","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 15 10:34:06 GMT 2023","Sat Apr 15 10:34:09 GMT 2023","3240","","test_conduit","TestConduit","","","test_delete_article",""
