"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 14:20:37 GMT 2023","Tue Apr 11 14:20:39 GMT 2023","2577","","test_conduit","TestConduit","","","test_new_article",""
"broken","Tue Apr 11 14:20:41 GMT 2023","Tue Apr 11 14:20:42 GMT 2023","1428","","test_conduit","TestConduit","","","test_edit_article",""
"broken","Tue Apr 11 14:20:43 GMT 2023","Tue Apr 11 14:20:45 GMT 2023","2020","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Tue Apr 11 14:20:34 GMT 2023","Tue Apr 11 14:20:35 GMT 2023","1352","","test_conduit","TestConduit","","","test_login",""
"passed","Tue Apr 11 14:20:29 GMT 2023","Tue Apr 11 14:20:32 GMT 2023","3253","","test_conduit","TestConduit","","","test_register",""
"passed","Tue Apr 11 14:20:27 GMT 2023","Tue Apr 11 14:20:28 GMT 2023","1085","","test_conduit","TestConduit","","","test_accept_cookies",""
