"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 14:27:38 GMT 2023","Sat Apr 15 14:27:40 GMT 2023","1371","","test_conduit","TestConduit","","","test_pages",""
"passed","Sat Apr 15 14:27:00 GMT 2023","Sat Apr 15 14:27:01 GMT 2023","1123","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 14:27:47 GMT 2023","Sat Apr 15 14:27:48 GMT 2023","826","","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 15 14:27:15 GMT 2023","Sat Apr 15 14:27:18 GMT 2023","2962","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 15 14:27:19 GMT 2023","Sat Apr 15 14:27:37 GMT 2023","18556","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 15 14:27:11 GMT 2023","Sat Apr 15 14:27:14 GMT 2023","2980","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 15 14:27:08 GMT 2023","Sat Apr 15 14:27:10 GMT 2023","1879","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 14:27:02 GMT 2023","Sat Apr 15 14:27:05 GMT 2023","3174","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 15 14:27:41 GMT 2023","Sat Apr 15 14:27:46 GMT 2023","5088","","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Sat Apr 15 14:27:06 GMT 2023","Sat Apr 15 14:27:07 GMT 2023","770","","test_conduit","TestConduit","","","test_login",""
