"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 09:59:32 GMT 2023","Sat Apr 15 09:59:33 GMT 2023","1144","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 09:59:34 GMT 2023","Sat Apr 15 09:59:38 GMT 2023","3301","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 15 09:59:39 GMT 2023","Sat Apr 15 09:59:40 GMT 2023","791","","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 15 09:59:41 GMT 2023","Sat Apr 15 09:59:43 GMT 2023","2282","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 09:59:44 GMT 2023","Sat Apr 15 09:59:47 GMT 2023","3076","","test_conduit","TestConduit","","","test_delete_article",""
