"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 10:08:39 GMT 2023","Sat Apr 15 10:08:40 GMT 2023","1139","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 10:08:47 GMT 2023","Sat Apr 15 10:08:49 GMT 2023","1873","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 10:08:53 GMT 2023","Sat Apr 15 10:08:56 GMT 2023","3051","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 15 10:08:45 GMT 2023","Sat Apr 15 10:08:46 GMT 2023","763","","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 15 10:08:41 GMT 2023","Sat Apr 15 10:08:44 GMT 2023","3227","","test_conduit","TestConduit","","","test_register",""
"broken","Sat Apr 15 10:08:50 GMT 2023","Sat Apr 15 10:08:52 GMT 2023","2187","","test_conduit","TestConduit","","","test_edit_article",""
