"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 14:06:28 GMT 2023","Sat Apr 15 14:06:29 GMT 2023","739","","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 15 14:06:37 GMT 2023","Sat Apr 15 14:06:40 GMT 2023","3373","","test_conduit","TestConduit","","","test_delete_article",""
"failed","Sat Apr 15 14:06:41 GMT 2023","Sat Apr 15 14:07:00 GMT 2023","18534","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 15 14:06:30 GMT 2023","Sat Apr 15 14:06:32 GMT 2023","1872","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 14:07:03 GMT 2023","Sat Apr 15 14:07:09 GMT 2023","5420","","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Sat Apr 15 14:06:33 GMT 2023","Sat Apr 15 14:06:36 GMT 2023","2994","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 15 14:07:01 GMT 2023","Sat Apr 15 14:07:02 GMT 2023","1363","","test_conduit","TestConduit","","","test_pages",""
"passed","Sat Apr 15 14:06:24 GMT 2023","Sat Apr 15 14:06:27 GMT 2023","3051","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 15 14:06:22 GMT 2023","Sat Apr 15 14:06:23 GMT 2023","1098","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 14:07:10 GMT 2023","Sat Apr 15 14:07:11 GMT 2023","835","","test_conduit","TestConduit","","","test_logout",""
