"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 15:04:45 GMT 2023","Tue Apr 11 15:04:46 GMT 2023","1499","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Apr 11 15:04:55 GMT 2023","Tue Apr 11 15:04:58 GMT 2023","2359","","test_conduit","TestConduit","","","test_new_article",""
"broken","Tue Apr 11 15:04:59 GMT 2023","Tue Apr 11 15:05:00 GMT 2023","1581","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Apr 11 15:04:53 GMT 2023","Tue Apr 11 15:04:54 GMT 2023","770","","test_conduit","TestConduit","","","test_login",""
"broken","Tue Apr 11 15:05:01 GMT 2023","Tue Apr 11 15:05:03 GMT 2023","1102","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Tue Apr 11 15:04:48 GMT 2023","Tue Apr 11 15:04:52 GMT 2023","4539","","test_conduit","TestConduit","","","test_register",""
