"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 11 15:10:31 GMT 2023","Tue Apr 11 15:10:32 GMT 2023","1060","","test_conduit","TestConduit","","","test_accept_cookies",""
"broken","Tue Apr 11 15:10:47 GMT 2023","Tue Apr 11 15:10:49 GMT 2023","1161","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Tue Apr 11 15:10:40 GMT 2023","Tue Apr 11 15:10:42 GMT 2023","2051","","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Apr 11 15:10:34 GMT 2023","Tue Apr 11 15:10:37 GMT 2023","2954","","test_conduit","TestConduit","","","test_register",""
"broken","Tue Apr 11 15:10:44 GMT 2023","Tue Apr 11 15:10:46 GMT 2023","1786","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Apr 11 15:10:38 GMT 2023","Tue Apr 11 15:10:39 GMT 2023","823","","test_conduit","TestConduit","","","test_login",""
