"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 13:02:52 GMT 2023","Sat Apr 15 13:02:55 GMT 2023","3089","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 15 13:02:56 GMT 2023","Sat Apr 15 13:03:15 GMT 2023","18127","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 15 13:02:43 GMT 2023","Sat Apr 15 13:02:44 GMT 2023","826","","test_conduit","TestConduit","","","test_login",""
"passed","Sat Apr 15 13:02:45 GMT 2023","Sat Apr 15 13:02:47 GMT 2023","2322","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 13:02:48 GMT 2023","Sat Apr 15 13:02:51 GMT 2023","3059","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 15 13:02:37 GMT 2023","Sat Apr 15 13:02:38 GMT 2023","1139","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 13:02:39 GMT 2023","Sat Apr 15 13:02:42 GMT 2023","3427","","test_conduit","TestConduit","","","test_register",""
