"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 14:47:20 GMT 2023","Sat Apr 15 14:47:24 GMT 2023","3496","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 15 14:47:25 GMT 2023","Sat Apr 15 14:47:28 GMT 2023","3415","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 15 14:47:12 GMT 2023","Sat Apr 15 14:47:15 GMT 2023","2888","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 15 14:47:18 GMT 2023","Sat Apr 15 14:47:19 GMT 2023","1893","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 14:47:58 GMT 2023","Sat Apr 15 14:48:00 GMT 2023","1986","","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Sat Apr 15 14:47:29 GMT 2023","Sat Apr 15 14:47:48 GMT 2023","18519","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 15 14:47:49 GMT 2023","Sat Apr 15 14:47:50 GMT 2023","1353","","test_conduit","TestConduit","","","test_pages",""
"passed","Sat Apr 15 14:48:01 GMT 2023","Sat Apr 15 14:48:02 GMT 2023","839","","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 15 14:47:51 GMT 2023","Sat Apr 15 14:47:57 GMT 2023","5880","","test_conduit","TestConduit","","","test_input_from_file",""
"passed","Sat Apr 15 14:47:10 GMT 2023","Sat Apr 15 14:47:11 GMT 2023","1050","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 14:47:16 GMT 2023","Sat Apr 15 14:47:17 GMT 2023","773","","test_conduit","TestConduit","","","test_login",""
