"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Apr 15 12:54:33 GMT 2023","Sat Apr 15 12:54:44 GMT 2023","10856","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 15 12:54:27 GMT 2023","Sat Apr 15 12:54:30 GMT 2023","2572","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 15 12:54:18 GMT 2023","Sat Apr 15 12:54:21 GMT 2023","3626","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 15 12:54:24 GMT 2023","Sat Apr 15 12:54:26 GMT 2023","1892","","test_conduit","TestConduit","","","test_new_article",""
"broken","Sat Apr 15 12:54:31 GMT 2023","Sat Apr 15 12:54:32 GMT 2023","1438","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 15 12:54:15 GMT 2023","Sat Apr 15 12:54:17 GMT 2023","1167","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sat Apr 15 12:54:22 GMT 2023","Sat Apr 15 12:54:23 GMT 2023","823","","test_conduit","TestConduit","","","test_login",""
