"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 18:02:25 GMT 2023","Sun Apr 09 18:02:26 GMT 2023","1069","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Apr 09 18:02:31 GMT 2023","Sun Apr 09 18:02:32 GMT 2023","835","","test_conduit","TestConduit","","","test_login",""
"passed","Sun Apr 09 18:02:27 GMT 2023","Sun Apr 09 18:02:30 GMT 2023","3032","","test_conduit","TestConduit","","","test_register",""
