"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 18:40:37 GMT 2023","Sun Apr 09 18:40:40 GMT 2023","2264","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sun Apr 09 18:40:29 GMT 2023","Sun Apr 09 18:40:30 GMT 2023","1102","","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Apr 09 18:40:31 GMT 2023","Sun Apr 09 18:40:34 GMT 2023","2902","","test_conduit","TestConduit","","","test_register",""
"passed","Sun Apr 09 18:40:35 GMT 2023","Sun Apr 09 18:40:36 GMT 2023","787","","test_conduit","TestConduit","","","test_login",""
