"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 12:15:06 GMT 2023","Sat Apr 15 12:15:09 GMT 2023","2942","","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sat Apr 15 12:14:59 GMT 2023","Sat Apr 15 12:15:01 GMT 2023","1866","","test_conduit","TestConduit","","","test_new_article",""
"passed","Sat Apr 15 12:14:53 GMT 2023","Sat Apr 15 12:14:57 GMT 2023","3462","","test_conduit","TestConduit","","","test_register",""
"passed","Sat Apr 15 12:14:51 GMT 2023","Sat Apr 15 12:14:52 GMT 2023","1170","","test_conduit","TestConduit","","","test_accept_cookies",""
"failed","Sat Apr 15 12:15:10 GMT 2023","Sat Apr 15 12:15:14 GMT 2023","3911","","test_conduit","TestConduit","","","test_favorite",""
"passed","Sat Apr 15 12:15:02 GMT 2023","Sat Apr 15 12:15:05 GMT 2023","2588","","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sat Apr 15 12:14:58 GMT 2023","Sat Apr 15 12:14:58 GMT 2023","787","","test_conduit","TestConduit","","","test_login",""
